ID	Traditional	Simplified	Pinyin	POS	Meaning	Tags
B6L02-II-03	習以為常	习以为常	xíyǐ wéicháng	Id	be used to, accustomed to, no stranger to	slides
B6L02-II-10	有損	有损	yǒusǔn	Vst	to cause damage to, be harmful to	mquizlet
B6L02-II-16	室內	室内	shìnèi	N	indoor	slides
B6L02-II-20	動用	动用	dòngyòng	V	to disburse, mobilize	mquizlet
B6L02-II-22	物力	物力	wùlì	N	coined on the basis of 人力, referring in this lesson to (heavy) equipment	mquizlet
B6L02-II-26	固態光源（SSL）	固态光源（SSL）	gùtài guāngyuán	Ph	solid state lighting	slides
B6L02-II-27	簡稱	简称	jiǎnchēng	N	abbreviation	slides
B6L02-II-29	日光板	日光板	rìguāngbǎn	N	solar panel (日光, rìguāng, N, sunlight; 板, bǎn, N, board)	mquizlet
B6L02-II-32	發光二極體（LED）	发光二极管（LED）	fāguāng èrjítǐ	Ph	light emitting diode	slides
B6L02-II-35	群眾	群众	qúnzhòng	N	the masses, people, crowds	slides
B6L02-II-36	剝奪	剥夺	bōduó	V	to deprive (of)	mquizlet
B6L02-II-T-01	爾文．哈樂戴	尔文．哈乐戴	Ěrwén Hālèdài		Dave Irvine-Halliday (a Canadian photonics specialist, his Light Up the World (LUTW) project is to bring affordable lighting to the developing world through the introduction of solid state lighting (SSL) based on light emitting diodes (LEDs))	slides
B6L02-II-T-02	卡加利大學	卡加利大学	Kǎjiālì Dàxué		University of Calgary, Canada	slides
B6L03-I-01	舞蹈家	舞蹈家	wǔdàojiā	N	professional and accomplished dancer (家, -jiā, N, -er, -ian, -ist)	slides
B6L03-I-06	傳人	传人	chuánrén	N	successor	slides
B6L03-I-15	邀約	邀约	yāoyuē	N	invitation	mquizlet
B6L03-I-18	傳承	传承	chuánchéng	V	to pass down, to pass along	slides
B6L03-I-23	首席	首席	shǒuxí	N	first chair (e.g., first cello), leading, chief position	slides
B6L03-I-27	化為	化为	huàwéi	Vpt	to transform into, to turn into, to change into	slides
